data_date,network_fee_withdrawn,operator_fee_withdrawn,total_fee_withdrawn,accumulated_network_fee_withdrawn,accumulated_operator_fee_withdrawn,accumulated_total_fee_withdrawn
2024-07-28,0,0,0,0,14009.187014205845,14009.187014205845
2024-07-27,0,0,0,0,14009.187014205845,14009.187014205845
2024-07-26,0,97.40813596782,97.40813596782,0,14009.187014205845,14009.187014205845
2024-07-25,0,0,0,0,13911.778878238025,13911.778878238025
2024-07-24,0,198.24854550311,198.24854550311,0,13911.778878238025,13911.778878238025
2024-07-23,0,609.3438087087001,609.3438087087001,0,13713.530332734916,13713.530332734916
2024-07-22,0,0,0,0,13104.186524026216,13104.186524026216
2024-07-21,0,0,0,0,13104.186524026216,13104.186524026216
2024-07-20,0,47.54793348022,47.54793348022,0,13104.186524026216,13104.186524026216
2024-07-19,0,0,0,0,13056.638590545996,13056.638590545996
2024-07-18,0,77.20780205038001,77.20780205038001,0,13056.638590545996,13056.638590545996
2024-07-17,0,0,0,0,12979.430788495616,12979.430788495616
2024-07-16,0,237.14197417661998,237.14197417661998,0,12979.430788495616,12979.430788495616
2024-07-15,0,0,0,0,12742.288814318996,12742.288814318996
2024-07-14,0,0,0,0,12742.288814318996,12742.288814318996
2024-07-13,0,0,0,0,12742.288814318996,12742.288814318996
2024-07-12,0,287.79746272125,287.79746272125,0,12742.288814318996,12742.288814318996
2024-07-11,0,0,0,0,12454.491351597746,12454.491351597746
2024-07-10,0,57.20060887649,57.20060887649,0,12454.491351597746,12454.491351597746
2024-07-09,0,249.9853376765,249.9853376765,0,12397.290742721256,12397.290742721256
2024-07-08,0,0,0,0,12147.305405044755,12147.305405044755
2024-07-07,0,41.288965494319996,41.288965494319996,0,12147.305405044755,12147.305405044755
2024-07-06,0,15.3536141308,15.3536141308,0,12106.016439550436,12106.016439550436
2024-07-05,0,0,0,0,12090.662825419637,12090.662825419637
2024-07-04,0,0,0,0,12090.662825419637,12090.662825419637
2024-07-03,0,31.92490145848,31.92490145848,0,12090.662825419637,12090.662825419637
2024-07-02,0,103.8217819884,103.8217819884,0,12058.737923961156,12058.737923961156
2024-07-01,0,483.93679974628,483.93679974628,0,11954.916141972757,11954.916141972757
2024-06-30,0,50,50,0,11470.979342226477,11470.979342226477
2024-06-29,0,0.00021150426,0.00021150426,0,11420.979342226477,11420.979342226477
2024-06-28,0,0,0,0,11420.979130722217,11420.979130722217
2024-06-27,0,0,0,0,11420.979130722217,11420.979130722217
2024-06-26,0,72.94692447036,72.94692447036,0,11420.979130722217,11420.979130722217
2024-06-25,0,15.7177807646,15.7177807646,0,11348.032206251857,11348.032206251857
2024-06-24,0,269.49600063408,269.49600063408,0,11332.314425487257,11332.314425487257
2024-06-23,0,0,0,0,11062.818424853176,11062.818424853176
2024-06-22,0,0,0,0,11062.818424853176,11062.818424853176
2024-06-21,0,8,8,0,11062.818424853176,11062.818424853176
2024-06-20,0,0,0,0,11054.818424853176,11054.818424853176
2024-06-19,0,100.810372664,100.810372664,0,11054.818424853176,11054.818424853176
2024-06-18,0,22.4323838156,22.4323838156,0,10954.008052189176,10954.008052189176
