owner,add_num,remove_num,net_add_num
0x5ed21077adef79628516b7628839c0cd2b44ca5f,20,0,20
0x1d9903f7b14f6e12a278bb2e83f51bd9429ab482,20,0,20
0x1c4eda5e2be9055126b9833db4ea99a30822f751,20,0,20
0xb2abd8d6fe813c565a0dcfced8792576adf5f78e,40,20,20
0x75f9af7483ef01635a6b80ec1b1f51c2024e22c8,20,0,20
0x3b3bca3d0296f3e3a2a10197bdb8515ddf59f2eb,20,0,20
0x1ddb4e46810806b5fbf67ac69b84ca48b8cbed1f,20,0,20
0x2cb72bc8176e6056f5090bdf5f6497acab327a5f,20,0,20
0x25e3d9fbe9b4afbf4220ef750b80841089d9f94d,253,235,18
0x4dc0bf9b18f9c550786a67ef42569d6337c4e78c,18,0,18
0x9b605278ed148672765fab17827a02a778e6479b,19,1,18
0xada145bc7acd9cf049b10fc3ce3273c8cc66a812,15,0,15
0x38dfbc6bba9b47d4b276ed3a1d8c59330daa0e40,15,0,15
0xdd1cd16f95e44ef7e55cc33ee6c1af9ab7cec7fc,16,1,15
0x64e968003c934f8d7ad9a4e30f48ee8e2409bae6,17,3,14
0xec6f1cd3f8c01a537b94f440e57bf6e1d5f4d1d6,17,3,14
0xc238a31c6f5ca2e6beadf1603179755f6d4ad9ef,14,0,14
0x064f1e75bbf6da069d7077802fe8271b7acf2c0a,13,0,13
0xb5fc45809170b05cbc73d067d265446e596cb994,60,48,12
0x688343d65224449f94603ed405d12e46595ef0b6,11,0,11
0x376ca6892ab19bfd90515257b5f6b31561c300aa,11,0,11
0x6df6622fc4e4bd35e58c2fb8369dcac43e459983,11,0,11
0x1134b5bfcd7be80a00d106358441f0369806b3ca,22,11,11
0x078dc682083132b4e86731062fcf95a729bac067,13,3,10
0xab80312f79209409b638b261c61fe73070d12818,10,0,10
0x706b29fe027130ddc88c3572a6bc52715195a76e,10,0,10
0xd1b0e5ada9beb183404cd45177a1b6d347516144,10,0,10
0xb8e36e5f926ee4928ce564050148c902f7cb782b,10,0,10
0xf46cfe3241a15378eb455a65d5e2642e654b498a,18,9,9
0x43fe0dec1dab7faa70fa8ddec3faa1cd0af12a8e,12,3,9
0xe73a687cd25c6894018c3271ba2a4fa883f918ba,9,0,9
0x72f26459038838f5f70fba3c32b778e31e5d19c1,10,2,8
0x150215168ffbffafc84182d9b4a5282350bd5301,8,0,8
0x4d9543521b48b5cb3a421031ca2416c503387fcc,8,0,8
0xdbc274a2fe90d9ca015c4f810f2624868a88ea9d,9,1,8
0x120f925e625cd73216329c0d948a64a89aca1333,8,0,8
0x86cfa43912969bbfc8ef2a7c887f78b45168fd2a,8,0,8
